text,size,topic
now,2,2
one,2,2
said,2,2
emperor,2,2
also,2,2
even,2,2
time,2,2
thought,2,2
ladi,2,2
still,2,2
will,2,2
becam,2,2
mansion,2,2
present,2,2
daughter,2,2
might,2,2
day,2,2
took,2,2
came,2,2
may,2,2
much,2,2
court,2,2
place,2,2
seem,2,2
princ,2,2
think,2,2
long,2,2
priest,2,2
princess,2,2
like,2,2
girl,2,2
littl,2,2
left,2,2
mother,2,2
howev,2,2
made,2,2
see,2,2
sever,2,2
year,2,2
say,2,2
father,2,2
come,2,2
appear,2,2
pass,2,2
return,2,2
repli,2,2
often,2,2
becom,2,2
take,2,2
love,2,2
sent,2,2
old,2,2
thu,2,2
know,2,2
mind,2,2
part,2,2
alway,2,2
away,2,2
go,2,2
great,2,2
attend,2,2
look,2,2
feel,2,2
though,2,2
hous,2,2
felt,2,2
world,2,2
went,2,2
servant,2,2
light,2,2
eye,2,2
mani,2,2
quit,2,2
can,2,2
last,2,2
hand,2,2
flower,2,2
child,2,2
follow,2,2
call,2,2
visit,2,2
well,2,2
make,2,2
capit,2,2
beauti,2,2
palac,2,2
began,2,2
room,2,2
son,2,2
young,2,2
must,2,2
life,2,2
roll,2,2
home,2,2
chang,2,2
never,2,2
live,2,2
resid,2,2
circumst,2,2
arriv,2,2
