text,size,topic
one,109,15
ladi,103,15
made,77,15
color,65,15
also,64,15
roll,64,15
day,58,15
naoshi,58,15
began,52,15
soon,51,15
left,51,15
emperor,51,15
side,45,15
dress,45,15
may,45,15
thought,45,15
like,45,15
present,45,15
pictur,45,15
princess,45,15
notic,39,15
remark,39,15
great,39,15
even,38,15
said,38,15
thing,38,15
silk,33,15
carri,32,15
come,32,15
well,32,15
perhap,32,15
see,32,15
took,32,15
place,32,15
time,32,15
upon,32,15
sash,32,15
right,32,15
chamber,32,15
play,32,15
scarlet,32,15
stand,32,15
lord,32,15
line,32,15
written,32,15
outsid,27,15
illustr,27,15
green,26,15
amus,26,15
flower,26,15
attend,26,15
say,26,15
follow,26,15
pleas,26,15
still,26,15
light,26,15
might,26,15
way,26,15
make,26,15
end,26,15
happen,26,15
pink,26,15
sever,26,15
mother,26,15
plum,26,15
write,26,15
drew,26,15
sing,26,15
sent,26,15
found,26,15
laugh,20,15
paint,19,15
arrang,19,15
scene,19,15
suddenli,19,15
cover,19,15
look,19,15
man,19,15
girl,19,15
becom,19,15
enter,19,15
observ,19,15
year,19,15
near,19,15
open,19,15
came,19,15
cri,19,15
saw,19,15
littl,19,15
young,19,15
take,19,15
love,19,15
wish,19,15
eye,19,15
now,19,15
becam,19,15
thu,19,15
quit,19,15
much,19,15
long,19,15
