text,size,topic
governor,161,16
sparrow,81,16
forehead,81,16
cage,81,16
success,81,16
templ,58,16
splendid,41,16
unattach,41,16
contour,41,16
quarrel,41,16
unrival,41,16
sunk,41,16
jugoi,41,16
tiresom,41,16
stool,41,16
girlhood,41,16
antechamb,41,16
yellow,41,16
ardent,41,16
endow,41,16
fit,41,16
laughingli,41,16
tame,41,16
queen,41,16
stroke,41,16
deriv,41,16
ay,41,16
satra,41,16
domin,41,16
inuki,41,16
bibl,41,16
surviv,41,16
dearer,41,16
ex,2,16
mental,2,16
nun,2,16
one,2,16
account,2,16
girl,2,16
daughter,2,16
even,2,16
serv,2,16
also,2,16
day,2,16
address,2,16
may,2,16
western,2,16
father,2,16
child,2,16
long,2,16
year,2,16
accept,2,16
bird,2,16
said,2,16
altar,2,16
advanc,2,16
convers,2,16
care,2,16
now,2,16
howev,2,16
attend,2,16
extraordinari,2,16
ladi,2,16
lost,2,16
stupid,2,16
like,2,16
look,2,16
made,2,16
well,2,16
thought,2,16
time,2,16
without,2,16
take,2,16
place,2,16
told,2,16
life,2,16
young,2,16
thu,2,16
emperor,2,16
littl,2,16
appear,2,16
return,2,16
often,2,16
mother,2,16
old,2,16
despatch,2,16
nurs,2,16
late,2,16
boy,2,16
left,2,16
age,2,16
better,2,16
buddha,2,16
far,2,16
much,2,16
home,2,16
hedg,2,16
still,2,16
went,2,16
room,2,16
