text,size,topic
one,122,13
princess,105,13
come,75,13
even,64,13
old,64,13
look,61,13
mansion,61,13
came,61,13
light,49,13
visit,48,13
anoth,48,13
dress,48,13
much,48,13
way,47,13
thought,47,13
go,47,13
like,46,13
palac,46,13
now,46,13
snow,45,13
fete,45,13
door,45,13
room,45,13
thing,45,13
will,45,13
betray,34,13
soon,32,13
happen,32,13
hous,32,13
person,31,13
might,31,13
brought,31,13
seem,31,13
kind,31,13
first,31,13
must,31,13
well,31,13
repli,31,13
went,31,13
long,31,13
take,31,13
littl,31,13
princ,31,13
still,30,13
time,30,13
lodg,30,13
droop,30,13
examin,30,13
dancer,30,13
compli,30,13
want,30,13
breakfast,30,13
hair,30,13
drove,30,13
pay,30,13
thin,30,13
servic,30,13
mistress,30,13
pink,30,13
maid,30,13
window,30,13
musician,30,13
larg,30,13
return,30,13
spent,30,13
seen,30,13
advanc,30,13
white,30,13
latter,30,13
two,30,13
occas,30,13
upon,30,13
left,30,13
father,30,13
day,30,13
awkward,30,13
peculiar,24,13
consist,23,13
certainli,21,13
spoke,20,13
step,20,13
novel,19,13
tone,19,13
figur,18,13
neither,18,13
everyth,17,13
induc,17,13
pretti,17,13
voic,17,13
watch,17,13
open,16,13
probabl,16,13
garden,16,13
heard,16,13
disturb,16,13
ask,16,13
scene,16,13
far,16,13
circumst,16,13
half,16,13
