text,size,topic
seem,1,16
one,1,16
thought,1,16
even,1,16
ladi,1,16
now,1,16
time,1,16
might,1,16
said,1,16
come,1,16
must,1,16
much,1,16
way,1,16
old,1,16
see,1,16
think,1,16
day,1,16
girl,1,16
make,1,16
go,1,16
thing,1,16
year,1,16
man,1,16
women,1,16
peopl,1,16
will,1,16
made,1,16
princess,1,16
princ,1,16
mother,1,16
night,1,16
came,1,16
know,1,16
littl,1,16
can,1,16
back,1,16
though,1,16
ask,1,16
went,1,16
emperor,1,16
look,1,16
long,1,16
call,1,16
find,1,16
feel,1,16
upon,1,16
t,1,16
left,1,16
sister,1,16
two,1,16
daughter,1,16
good,1,16
want,1,16
yet,1,16
matter,1,16
pleas,1,16
brought,1,16
world,1,16
perhap,1,16
like,1,16
say,1,16
just,1,16
hous,1,16
father,1,16
away,1,16
hand,1,16
wish,1,16
may,1,16
place,1,16
well,1,16
let,1,16
great,1,16
everyth,1,16
take,1,16
tell,1,16
leav,1,16
young,1,16
new,1,16
woman,1,16
rather,1,16
life,1,16
told,1,16
anoth,1,16
live,1,16
found,1,16
cours,1,16
sort,1,16
room,1,16
certain,1,16
answer,1,16
last,1,16
noth,1,16
set,1,16
worri,1,16
doubt,1,16
tear,1,16
still,1,16
someth,1,16
turn,1,16
realli,1,16
