text,size,topic
one,113,9
seem,107,9
thought,87,9
think,83,9
might,75,9
even,74,9
must,73,9
come,65,9
ladi,65,9
time,65,9
said,64,9
will,63,9
now,59,9
go,58,9
see,55,9
women,53,9
much,52,9
thing,51,9
littl,51,9
world,50,9
make,47,9
can,45,9
know,45,9
day,43,9
way,43,9
princess,42,9
like,42,9
long,41,9
look,41,9
made,40,9
want,39,9
feel,38,9
came,37,9
still,37,9
away,37,9
though,36,9
man,36,9
say,36,9
father,36,9
let,34,9
life,33,9
well,33,9
leav,32,9
night,32,9
back,32,9
may,32,9
noth,32,9
tear,32,9
live,31,9
ask,30,9
great,30,9
wish,30,9
take,29,9
old,29,9
sad,29,9
sort,28,9
sure,28,9
good,28,9
quit,27,9
hous,27,9
find,27,9
woman,26,9
tell,25,9
cours,25,9
peopl,25,9
visit,24,9
pleas,24,9
year,24,9
matter,24,9
alway,24,9
answer,24,9
sister,23,9
left,23,9
yet,23,9
told,22,9
upon,22,9
rather,22,9
tri,22,9
fear,22,9
found,22,9
perhap,21,9
went,21,9
call,21,9
inde,20,9
everyth,20,9
worri,20,9
someth,19,9
turn,19,9
enough,19,9
young,19,9
talk,19,9
last,19,9
put,18,9
just,18,9
hope,18,9
room,18,9
doubt,18,9
word,18,9
end,18,9
heard,17,9
