text,size,topic
seem,94,5
one,81,5
must,76,5
father,71,5
day,63,5
look,57,5
minist,57,5
said,53,5
littl,50,5
thought,47,5
now,44,5
see,43,5
thing,43,5
great,43,5
came,42,5
made,41,5
year,41,5
even,40,5
though,39,5
princess,39,5
autumn,38,5
come,38,5
might,36,5
way,35,5
peopl,35,5
life,34,5
fear,34,5
night,34,5
think,33,5
child,33,5
spring,32,5
sent,32,5
man,30,5
like,30,5
women,29,5
month,29,5
upon,29,5
gone,28,5
place,28,5
citi,28,5
live,28,5
back,27,5
omyobu,27,5
world,27,5
perhap,26,5
men,26,5
time,26,5
will,26,5
brought,26,5
enough,26,5
tear,24,5
chines,24,5
set,24,5
right,24,5
away,24,5
much,24,5
ladi,23,5
old,23,5
secret,23,5
everi,23,5
without,23,5
mansion,23,5
eye,23,5
alway,22,5
left,22,5
show,22,5
wind,22,5
touch,22,5
governor,21,5
someth,21,5
go,21,5
return,20,5
everyth,20,5
court,20,5
feel,20,5
say,19,5
certain,19,5
howev,19,5
bring,19,5
sever,19,5
turn,19,5
nijo,19,5
sea,19,5
well,18,5
hous,18,5
inde,18,5
tell,18,5
leav,18,5
palac,18,5
weight,18,5
wave,18,5
note,18,5
law,18,5
ask,18,5
two,17,5
god,17,5
someon,17,5
take,17,5
anoth,17,5
move,17,5
