text,size,topic
girl,121,11
seem,81,11
come,80,11
will,78,11
said,77,11
must,77,11
one,75,11
t,73,11
now,73,11
go,72,11
thought,71,11
even,71,11
ladi,66,11
see,64,11
back,64,11
know,61,11
nun,60,11
littl,56,11
time,55,11
might,55,11
thing,52,11
mother,52,11
can,51,11
want,50,11
like,48,11
way,46,11
think,45,11
day,45,11
look,45,11
say,44,11
came,43,11
peopl,43,11
long,42,11
away,42,11
tell,41,11
bishop,41,11
man,38,11
make,38,11
sure,37,11
old,36,11
let,35,11
ask,35,11
live,35,11
went,34,11
year,33,11
night,32,11
just,32,11
well,32,11
good,32,11
much,31,11
hous,31,11
take,30,11
pleas,30,11
left,30,11
tear,29,11
women,29,11
noth,29,11
still,28,11
happen,28,11
young,28,11
great,28,11
mountain,27,11
don,27,11
letter,27,11
someon,27,11
citi,26,11
place,26,11
nurs,26,11
may,26,11
made,25,11
sister,25,11
world,25,11
two,25,11
call,25,11
feel,24,11
talk,24,11
life,23,11
keep,23,11
sent,23,11
upon,23,11
last,22,11
sad,22,11
wish,22,11
leav,22,11
strang,22,11
father,22,11
brought,22,11
turn,22,11
inde,22,11
care,22,11
worri,21,11
heard,21,11
told,21,11
get,20,11
find,19,11
rather,19,11
far,19,11
realli,19,11
die,19,11
quit,19,11
