text,size,topic
emperor,290,2
ladi,139,2
daughter,126,2
princess,120,2
son,111,2
now,107,2
court,86,2
princ,83,2
one,81,2
father,75,2
seem,72,2
third,68,2
young,67,2
mother,64,2
good,63,2
thought,63,2
year,62,2
might,62,2
much,56,2
wish,56,2
said,56,2
make,55,2
time,54,2
worri,52,2
think,50,2
must,49,2
man,49,2
cours,47,2
crown,47,2
long,44,2
see,44,2
still,43,2
higekuro,43,2
palac,43,2
well,41,2
matter,41,2
even,40,2
new,39,2
sister,39,2
thing,38,2
made,38,2
affair,37,2
like,36,2
brother,36,2
rather,36,2
great,36,2
common,36,2
boy,36,2
empress,35,2
left,35,2
day,35,2
come,34,2
children,34,2
royal,33,2
present,32,2
fear,32,2
let,31,2
ceremoni,31,2
want,31,2
feel,31,2
visit,30,2
though,30,2
minist,30,2
may,30,2
hope,30,2
old,29,2
know,29,2
fact,29,2
yet,29,2
alway,28,2
servic,28,2
public,28,2
favorit,28,2
will,27,2
perhap,27,2
care,26,2
second,26,2
howev,26,2
better,25,2
need,25,2
quit,25,2
inde,24,2
say,24,2
age,24,2
two,24,2
littl,24,2
child,24,2
retir,23,2
happi,23,2
life,23,2
among,22,2
also,22,2
plan,22,2
look,22,2
mani,22,2
grand,22,2
lieuten,22,2
live,21,2
import,21,2
majesti,21,2
