text,size,topic
one,93,10
think,87,10
said,80,10
princess,80,10
seem,77,10
thing,66,10
littl,58,10
might,57,10
like,57,10
made,55,10
though,55,10
ladi,51,10
came,49,10
must,48,10
come,47,10
quit,45,10
even,45,10
mother,45,10
look,44,10
make,42,10
go,40,10
pleas,38,10
inde,38,10
upon,38,10
peopl,38,10
thought,37,10
take,37,10
rather,36,10
day,36,10
way,34,10
world,34,10
much,33,10
wish,33,10
smile,33,10
doubt,33,10
see,32,10
life,31,10
now,31,10
just,31,10
stori,31,10
can,30,10
great,29,10
good,29,10
say,29,10
put,29,10
old,29,10
care,28,10
right,27,10
new,27,10
fine,26,10
shall,26,10
sent,26,10
father,25,10
cours,25,10
someth,25,10
sure,24,10
sister,24,10
matter,23,10
time,23,10
differ,23,10
truth,22,10
daughter,22,10
found,22,10
nijo,22,10
place,22,10
remark,21,10
yet,21,10
suppos,20,10
feel,20,10
year,19,10
sometim,19,10
everyon,19,10
mean,19,10
noth,19,10
know,19,10
event,18,10
happen,18,10
ceremoni,18,10
proper,18,10
perhap,18,10
ye,18,10
wisteria,18,10
still,17,10
grand,17,10
show,17,10
oi,17,10
comfort,16,10
gener,16,10
attent,16,10
visit,16,10
anyth,16,10
end,16,10
read,16,10
let,16,10
find,16,10
poem,16,10
present,16,10
alway,16,10
better,15,10
t,15,10
