text,size,topic
ladi,91,1
carriag,52,1
festiv,51,1
nurs,50,1
shower,50,1
pouch,44,1
eastern,42,1
cottag,42,1
digniti,36,1
join,35,1
strongli,34,1
drawn,34,1
grove,33,1
sailor,29,1
mildew,29,1
melon,29,1
sprig,29,1
admir,29,1
reproach,29,1
duce,29,1
process,29,1
poni,29,1
sadli,29,1
cliff,29,1
replac,29,1
bling,28,1
unnecessarili,28,1
farmer,28,1
restrain,27,1
doze,27,1
enviou,26,1
treatment,26,1
jump,26,1
patienc,26,1
whereabout,25,1
whenc,25,1
kamo,25,1
real,25,1
accord,24,1
fallen,24,1
stand,23,1
displeas,23,1
nervou,23,1
tall,23,1
household,22,1
deserv,21,1
mother,21,1
impress,21,1
appoint,20,1
pleasant,20,1
inferior,17,1
sing,17,1
shadow,17,1
rough,16,1
girl,15,1
declin,15,1
rumor,15,1
energeti,15,1
calli,15,1
legat,15,1
miar,15,1
vertigo,15,1
trou,15,1
hu,15,1
storybookish,15,1
cordon,15,1
scrubwoman,15,1
bot,15,1
repres,15,1
suspens,15,1
poignanc,15,1
ummeiden,15,1
inferi,15,1
oshima,15,1
coffin,15,1
unperturb,15,1
oaraki,15,1
jour,15,1
consumpt,15,1
appealingli,15,1
chou,15,1
pro,15,1
vant,15,1
vehe,15,1
ban,15,1
kane,15,1
ney,15,1
curi,15,1
lilac,15,1
trem,15,1
inscript,15,1
multi,15,1
folk,15,1
whatcanhav,15,1
sanctimoni,15,1
stricter,15,1
superstiti,15,1
suad,15,1
goddess,15,1
crawl,15,1
