text,size,topic
letter,743,8
man,645,8
time,564,8
daughter,514,8
may,476,8
now,460,8
one,452,8
even,443,8
like,420,8
world,409,8
wave,404,8
mountain,401,8
much,383,8
without,380,8
felt,378,8
tear,372,8
thing,369,8
see,360,8
thread,358,8
father,342,8
care,319,8
men,313,8
will,298,8
think,297,8
ladi,297,8
long,296,8
way,295,8
deep,288,8
howev,288,8
give,288,8
lone,286,8
share,284,8
ill,279,8
though,278,8
capit,266,8
buddha,263,8
profound,258,8
well,256,8
statu,254,8
resid,248,8
place,247,8
young,243,8
might,242,8
practic,241,8
noviti,240,8
emot,240,8
day,238,8
mean,238,8
rehears,237,8
seem,234,8
found,233,8
find,232,8
discipl,226,8
messeng,220,8
wait,214,8
dream,213,8
devot,213,8
life,213,8
appear,212,8
wish,212,8
visit,210,8
feel,209,8
sent,207,8
listen,207,8
whose,207,8
usual,206,8
set,206,8
repli,201,8
go,197,8
charm,197,8
villa,191,8
thu,185,8
year,184,8
moment,182,8
discuss,181,8
spoken,181,8
bond,179,8
just,178,8
refin,178,8
mine,177,8
hand,176,8
word,176,8
melancholi,176,8
court,174,8
rank,174,8
ever,174,8
instruct,174,8
grew,173,8
husband,173,8
night,173,8
fierc,173,8
remind,172,8
auster,170,8
secret,169,8
affair,169,8
mani,167,8
continu,167,8
strand,164,8
suffer,164,8
quarter,163,8
