text,size,topic
illustr,1183,7
paint,1131,7
art,866,7
master,678,7
court,629,7
studi,615,7
talent,555,7
abl,498,7
painter,455,7
live,428,7
mountain,422,7
beauti,409,7
show,392,7
brought,376,7
look,373,7
shore,363,7
feel,362,7
daughter,349,7
skill,344,7
period,334,7
never,327,7
work,327,7
interest,324,7
even,323,7
learn,323,7
scene,315,7
young,311,7
father,309,7
journal,304,7
went,303,7
thu,294,7
scroll,294,7
must,283,7
sketch,283,7
though,279,7
time,274,7
woman,273,7
alon,272,7
earlier,269,7
instead,265,7
tear,265,7
suma,264,7
let,261,7
consort,253,7
depict,251,7
old,246,7
capit,236,7
eleg,236,7
back,236,7
later,232,7
way,230,7
move,229,7
princ,229,7
ever,227,7
brush,227,7
griev,226,7
long,226,7
next,224,7
acquir,220,7
call,218,7
present,211,7
ascet,211,7
birth,211,7
wonder,211,7
alreadi,211,7
moment,210,7
inferior,209,7
numer,208,7
come,207,7
modern,207,7
curios,207,7
found,206,7
calligraphi,206,7
familiar,202,7
ambit,199,7
trivial,196,7
reason,195,7
still,192,7
knew,191,7
heart,189,7
open,188,7
piec,188,7
came,187,7
younger,186,7
music,186,7
paper,183,7
societi,183,7
use,182,7
extrem,181,7
fact,181,7
hold,180,7
seem,177,7
favor,177,7
began,175,7
sutra,175,7
left,171,7
yet,168,7
summon,167,7
frequent,165,7
tale,164,7
