text,size,topic
ladi,903,5
umetsubo,700,5
move,683,5
pine,677,5
year,666,5
spring,565,5
one,552,5
quadrant,550,5
women,546,5
left,544,5
tree,542,5
mountain,533,5
plant,512,5
resid,500,5
shade,493,5
gift,474,5
garden,431,5
hanachirusato,429,5
girl,420,5
set,405,5
color,400,5
autumn,399,5
serv,395,5
box,393,5
page,383,5
sacr,378,5
new,371,5
estat,368,5
place,366,5
time,364,5
though,358,5
pray,358,5
sutra,357,5
high,349,5
even,348,5
now,346,5
also,338,5
event,336,5
five,336,5
made,332,5
pilgrimag,325,5
rank,321,5
around,314,5
leav,312,5
danc,306,5
court,306,5
cover,305,5
face,304,5
bloom,302,5
season,300,5
design,298,5
front,290,5
live,288,5
flower,288,5
special,286,5
held,282,5
fortun,279,5
two,273,5
accompani,267,5
perform,266,5
everyon,266,5
present,263,5
contest,263,5
side,253,5
includ,250,5
shrine,250,5
sinc,240,5
needl,240,5
east,237,5
variou,237,5
along,233,5
deep,233,5
templ,230,5
attend,230,5
month,228,5
mani,225,5
chines,224,5
given,224,5
make,223,5
emperor,223,5
everi,221,5
wait,221,5
mind,217,5
thousand,216,5
adorn,216,5
comb,215,5
west,215,5
still,215,5
four,214,5
line,212,5
root,210,5
stream,209,5
read,205,5
pond,205,5
palac,205,5
took,204,5
scatter,203,5
appear,202,5
creat,202,5
korean,202,5
