text,size,topic
boy,1073,1
woman,874,1
man,744,1
like,622,1
affair,615,1
night,585,1
screen,566,1
door,537,1
sing,513,1
never,507,1
time,495,1
now,484,1
want,464,1
visit,462,1
even,454,1
open,441,1
move,426,1
tell,425,1
littl,423,1
come,420,1
feel,420,1
song,413,1
eastern,395,1
fold,391,1
lover,378,1
though,373,1
might,358,1
sinc,344,1
heard,342,1
gave,329,1
women,322,1
asleep,321,1
old,313,1
told,311,1
provinc,310,1
hut,310,1
got,303,1
rustl,288,1
silk,283,1
chamber,277,1
visitor,271,1
insid,260,1
slip,257,1
deepen,255,1
chill,253,1
go,250,1
spread,247,1
situat,246,1
noth,245,1
give,243,1
pick,242,1
sleep,240,1
just,240,1
treatment,233,1
ask,231,1
sound,229,1
way,229,1
make,225,1
play,224,1
thought,223,1
tear,214,1
saw,214,1
stop,214,1
love,213,1
rain,212,1
sad,212,1
learn,211,1
sorrow,210,1
awkward,210,1
palac,209,1
wait,208,1
desir,208,1
despit,208,1
fact,208,1
differ,208,1
believ,208,1
amor,208,1
soak,208,1
lust,208,1
director,208,1
spider,208,1
saibara,208,1
idiot,208,1
maiden,208,1
better,203,1
stealthili,201,1
escapad,197,1
closer,197,1
companion,196,1
raw,193,1
eav,192,1
blow,188,1
shock,186,1
floor,184,1
lift,183,1
let,178,1
laugh,171,1
unawar,168,1
racket,167,1
felt,166,1
