text,size,topic
omoto,883,6
like,875,6
man,679,6
appear,538,6
love,529,6
carriag,498,6
path,429,6
said,423,6
world,419,6
steward,398,6
approach,364,6
old,357,6
woman,352,6
tree,350,6
intent,346,6
moon,346,6
moor,339,6
light,336,6
felt,335,6
morn,328,6
peopl,328,6
ben,327,6
feel,324,6
villa,322,6
take,319,6
attend,319,6
futur,317,6
life,315,6
got,314,6
never,308,6
call,307,6
lover,303,6
sky,300,6
resid,280,6
high,268,6
stand,262,6
move,262,6
hear,261,6
passion,258,6
promis,256,6
ladi,250,6
leav,249,6
true,244,6
go,242,6
rais,242,6
ask,239,6
follow,238,6
gradual,236,6
experienc,234,6
put,234,6
shutter,234,6
closer,230,6
just,230,6
one,230,6
come,227,6
around,224,6
say,223,6
live,222,6
look,219,6
howev,219,6
dont,219,6
garden,218,6
dawn,218,6
took,217,6
though,215,6
found,214,6
anyth,214,6
make,213,6
way,213,6
bring,213,6
vow,211,6
made,210,6
buddha,210,6
seem,208,6
troubl,208,6
anxiou,207,6
everyth,206,6
order,206,6
exquisit,206,6
happen,205,6
servant,201,6
plant,201,6
holi,201,6
prompt,201,6
hurriedli,201,6
overgrown,201,6
prostrat,201,6
miroku,201,6
pilgrim,201,6
halfway,200,6
tidi,192,6
allus,188,6
think,182,6
lower,178,6
hall,167,6
cloud,162,6
rank,161,6
palac,156,6
either,156,6
readi,154,6
