text,size,topic
now,12,13
even,12,13
time,12,13
ladi,12,13
like,12,13
look,12,13
feel,12,13
come,12,13
daughter,12,13
might,12,13
see,12,13
way,12,13
young,12,13
just,12,13
one,12,13
will,12,13
think,12,13
made,12,13
man,12,13
seem,12,13
year,12,13
court,12,13
woman,12,13
never,12,13
villa,12,13
day,12,13
attend,12,13
make,12,13
must,12,13
littl,12,13
go,12,13
princess,12,13
father,12,13
felt,12,13
emperor,12,13
thought,12,13
though,12,13
still,12,13
thing,12,13
heart,12,13
much,12,13
resid,12,13
place,12,13
peopl,12,13
away,12,13
long,12,13
well,12,13
major,12,13
want,12,13
son,12,13
live,12,13
sinc,12,13
take,12,13
letter,12,13
captain,12,13
mother,12,13
say,12,13
howev,12,13
may,12,13
noth,12,13
appear,12,13
know,12,13
night,12,13
said,12,13
women,12,13
princ,12,13
matter,12,13
back,12,13
leav,12,13
serv,12,13
wife,12,13
mani,12,13
alway,12,13
let,12,13
repli,12,13
majesti,12,13
also,12,13
face,12,13
call,12,13
care,12,13
two,12,13
palac,12,13
left,12,13
late,12,13
get,12,13
love,12,13
robe,12,13
mind,12,13
ever,12,13
old,12,13
find,12,13
move,12,13
world,12,13
life,12,13
continu,12,13
sure,12,13
found,12,13
took,12,13
keep,12,13
realli,12,13
