text,size,topic
blossom,1408,19
son,1399,19
plum,1042,19
robe,914,19
spring,887,19
tree,774,19
cherri,665,19
play,653,19
one,646,19
look,592,19
red,580,19
branch,566,19
scent,562,19
littl,532,19
fragranc,525,19
young,519,19
bloom,513,19
made,504,19
boy,503,19
major,500,19
garden,481,19
two,462,19
just,459,19
third,452,19
perform,444,19
even,439,19
women,429,19
seem,421,19
wisteria,412,19
flower,412,19
light,406,19
sleev,399,19
color,399,19
follow,394,19
right,386,19
blind,382,19
line,368,19
cat,368,19
counselor,359,19
feel,348,19
hall,346,19
princ,334,19
must,332,19
think,327,19
princess,322,19
refin,321,19
green,316,19
captain,308,19
veranda,304,19
resid,303,19
will,292,19
ad,292,19
eleg,284,19
brother,283,19
quarter,278,19
gentleman,275,19
kobai,274,19
set,273,19
wait,270,19
remark,269,19
main,261,19
contest,257,19
men,256,19
charm,250,19
see,249,19
come,249,19
though,247,19
style,245,19
skill,243,19
like,241,19
smile,240,19
father,237,19
white,236,19
ladi,236,19
still,234,19
game,232,19
incens,228,19
use,225,19
older,224,19
sing,223,19
beauti,222,19
warbler,221,19
also,220,19
breez,219,19
thought,215,19
year,214,19
usual,212,19
manner,212,19
appear,210,19
outer,207,19
now,205,19
music,204,19
night,204,19
east,204,19
insid,203,19
gave,201,19
purpl,196,19
bud,195,19
join,194,19
flute,190,19
