text,size,topic
blossom,1316,4
daughter,889,4
cherri,870,4
scatter,870,4
sister,773,4
tree,653,4
right,582,4
young,571,4
one,468,4
older,466,4
may,464,4
look,457,4
come,454,4
want,454,4
feel,451,4
captain,445,4
wind,437,4
girl,396,4
follow,362,4
even,349,4
man,349,4
ad,348,4
still,342,4
though,340,4
sinc,339,4
go,339,4
around,338,4
lesser,336,4
younger,329,4
someth,279,4
inclin,247,4
side,243,4
minist,241,4
women,236,4
made,235,4
anoth,233,4
ever,232,4
woman,232,4
tri,232,4
futur,231,4
will,231,4
gather,231,4
seem,230,4
day,230,4
continu,230,4
left,230,4
respond,229,4
make,229,4
say,229,4
yet,228,4
affect,227,4
great,227,4
keep,226,4
attend,226,4
howev,225,4
mistress,225,4
match,225,4
compos,225,4
serv,225,4
two,224,4
delight,224,4
repli,223,4
regret,223,4
move,223,4
page,223,4
pass,221,4
decid,221,4
gaze,221,4
power,221,4
better,221,4
color,221,4
retir,221,4
across,221,4
claim,221,4
game,221,4
wouldnt,221,4
edg,221,4
incarn,217,4
delud,208,4
won,154,4
dress,148,4
suspect,139,4
peerless,135,4
play,134,4
buddha,132,4
ignor,129,4
fact,129,4
drift,128,4
common,127,4
sound,126,4
win,124,4
glori,122,4
sure,122,4
call,122,4
twilight,121,4
appar,121,4
fall,121,4
joy,120,4
brother,120,4
withdrew,120,4
