text,size,topic
even,775,16
feel,717,16
time,668,16
one,655,16
princess,653,16
now,648,16
look,571,16
day,475,16
world,475,16
thought,448,16
heart,442,16
though,441,16
will,438,16
see,428,16
like,423,16
long,416,16
seem,402,16
felt,383,16
way,359,16
might,358,16
never,356,16
just,347,16
father,345,16
come,344,16
year,340,16
made,332,16
ladi,331,16
tear,325,16
still,322,16
thing,318,16
life,318,16
live,318,16
move,317,16
leav,317,16
villa,315,16
must,310,16
mani,308,16
go,304,16
attend,300,16
back,299,16
night,295,16
make,294,16
sinc,290,16
think,287,16
away,285,16
left,283,16
much,276,16
pass,274,16
repli,263,16
take,263,16
littl,252,16
know,246,16
alway,243,16
sorrow,242,16
want,240,16
peopl,239,16
women,239,16
love,237,16
end,235,16
letter,230,16
noth,227,16
well,225,16
found,224,16
ever,222,16
yet,220,16
mind,220,16
abl,219,16
visit,214,16
word,213,16
said,206,16
place,203,16
woman,201,16
late,200,16
mother,199,16
turn,198,16
remain,197,16
suffer,197,16
man,195,16
may,195,16
call,195,16
resid,193,16
howev,192,16
sent,192,16
month,191,16
continu,190,16
sad,189,16
moment,189,16
longer,188,16
arriv,187,16
sister,184,16
robe,184,16
wait,182,16
death,182,16
grief,181,16
old,179,16
face,178,16
behind,176,16
appear,176,16
mountain,175,16
son,174,16
