text,size,topic
woman,836,2
now,735,2
young,665,2
wife,656,2
father,608,2
older,571,2
seem,566,2
will,521,2
sister,453,2
felt,451,2
villa,427,2
take,413,2
captain,390,2
strang,379,2
look,378,2
word,360,2
daughter,356,2
back,347,2
thought,341,2
just,340,2
man,329,2
matter,328,2
last,328,2
late,326,2
thing,317,2
nun,310,2
move,310,2
death,302,2
end,296,2
must,289,2
day,284,2
well,284,2
year,283,2
think,281,2
marriag,275,2
sent,271,2
sinc,271,2
want,270,2
care,269,2
feel,267,2
ill,256,2
one,255,2
much,247,2
might,246,2
need,245,2
noth,244,2
princ,243,2
left,242,2
go,242,2
appear,239,2
also,238,2
continu,238,2
place,237,2
letter,236,2
templ,236,2
mind,236,2
subject,234,2
call,232,2
watchman,227,2
mother,226,2
give,223,2
say,223,2
lost,221,2
talk,220,2
servic,218,2
retreat,215,2
note,212,2
may,211,2
repli,210,2
night,210,2
live,208,2
ever,207,2
major,206,2
sorri,205,2
carriag,205,2
longer,202,2
ladi,201,2
marri,201,2
caus,201,2
pass,200,2
come,200,2
plan,199,2
right,198,2
can,197,2
messag,196,2
make,195,2
brought,194,2
use,193,2
remain,193,2
tri,190,2
find,187,2
concern,187,2
final,187,2
realiz,186,2
die,184,2
old,183,2
stay,180,2
rite,180,2
bodi,179,2
condit,179,2
