text,size,topic
illustr,1120,12
scroll,864,12
chines,811,12
tale,751,12
read,704,12
ceremoni,702,12
work,630,12
poem,597,12
paint,562,12
paper,549,12
one,522,12
style,517,12
write,512,12
scholar,503,12
stori,481,12
calligraphi,470,12
right,469,12
left,461,12
appear,434,12
collect,430,12
line,393,12
use,393,12
present,389,12
time,381,12
women,376,12
select,373,12
learn,369,12
made,352,12
number,343,12
manner,333,12
never,332,12
also,329,12
like,325,12
copi,324,12
lotu,319,12
son,318,12
seat,313,12
set,312,12
attend,306,12
ladi,305,12
yet,305,12
truli,302,12
sketch,302,12
behind,301,12
master,299,12
charact,296,12
serv,295,12
prepar,293,12
even,293,12
depict,288,12
well,277,12
qualiti,267,12
palac,261,12
light,258,12
studi,254,12
two,254,12
princess,253,12
among,244,12
occas,241,12
everyon,241,12
calligraph,236,12
howev,236,12
skill,235,12
sutra,232,12
compos,229,12
third,229,12
robe,223,12
room,223,12
beauti,220,12
love,220,12
north,219,12
distinct,218,12
volum,215,12
noblemen,215,12
can,214,12
lector,214,12
umetsubo,214,12
look,213,12
away,211,12
togeth,209,12
contain,208,12
quit,204,12
offici,201,12
mount,201,12
night,199,12
sinc,199,12
man,197,12
much,196,12
box,194,12
academi,193,12
silk,192,12
seem,191,12
day,191,12
emperor,191,12
young,191,12
imagin,190,12
bamboo,190,12
spindl,188,12
incens,188,12
reput,187,12
