text,size,topic
said,71,7
one,66,7
thought,62,7
come,57,7
might,49,7
day,49,7
like,49,7
becam,40,7
call,40,7
also,40,7
eye,40,7
even,40,7
now,40,7
see,40,7
seem,35,7
danc,35,7
attend,35,7
came,35,7
still,35,7
princ,31,7
violet,31,7
present,31,7
cri,31,7
alarm,31,7
wind,31,7
becom,31,7
hand,31,7
made,31,7
flower,31,7
time,31,7
care,26,7
great,26,7
rain,26,7
storm,26,7
light,26,7
dark,26,7
fear,26,7
go,26,7
state,26,7
girl,26,7
ah,26,7
old,26,7
think,26,7
went,22,7
away,22,7
play,22,7
perform,22,7
caus,22,7
end,22,7
toy,22,7
priest,22,7
prayer,22,7
blind,22,7
never,22,7
continu,22,7
servant,22,7
leav,22,7
round,22,7
back,22,7
white,22,7
repli,22,7
palac,22,7
open,22,7
given,22,7
gate,22,7
court,22,7
ladi,22,7
word,22,7
littl,22,7
will,22,7
began,22,7
hous,22,7
often,22,7
take,22,7
yet,22,7
look,22,7
return,18,7
place,18,7
capit,18,7
side,18,7
tri,18,7
approach,18,7
scene,18,7
perhap,18,7
besid,18,7
music,18,7
royal,18,7
less,18,7
fete,18,7
don,18,7
strang,18,7
t,18,7
wipe,18,7
thunder,18,7
man,18,7
blew,18,7
drive,18,7
float,18,7
retreat,18,7
blossom,18,7
