text,size,topic
emperor,107,6
one,84,6
mountain,76,6
princ,69,6
said,61,6
present,53,6
say,53,6
upon,53,6
even,46,6
mother,46,6
thu,46,6
now,38,6
father,38,6
made,38,6
may,38,6
apart,38,6
affect,38,6
child,38,6
blossom,38,6
also,31,6
littl,31,6
great,31,6
court,31,6
still,31,6
yet,31,6
seem,31,6
last,31,6
flower,31,6
repli,31,6
make,31,6
sent,31,6
first,31,6
among,31,6
gave,31,6
anoth,31,6
priest,31,6
leav,31,6
hermit,31,6
see,23,6
palac,23,6
part,23,6
becam,23,6
though,23,6
young,23,6
appear,23,6
whose,23,6
sever,23,6
eye,23,6
went,23,6
feel,23,6
follow,23,6
quit,23,6
everi,23,6
state,23,6
alway,23,6
public,23,6
attend,23,6
moment,23,6
chamber,23,6
tree,23,6
peopl,23,6
nevertheless,23,6
sad,23,6
possibl,23,6
departur,23,6
due,23,6
messeng,23,6
sometim,23,6
born,23,6
weak,23,6
observ,23,6
sake,23,6
flute,23,6
fain,23,6
point,23,6
journey,23,6
cherri,23,6
day,15,6
came,15,6
thought,15,6
time,15,6
ladi,15,6
much,15,6
howev,15,6
like,15,6
will,15,6
long,15,6
began,15,6
look,15,6
take,15,6
often,15,6
pass,15,6
return,15,6
year,15,6
becom,15,6
home,15,6
resid,15,6
visit,15,6
back,15,6
privat,15,6
