text,size,topic
one,112,4
ladi,83,4
pictur,75,4
now,64,4
said,62,4
even,60,4
may,59,4
also,49,4
make,47,4
time,47,4
howev,45,4
took,43,4
like,40,4
littl,38,4
will,37,4
right,36,4
thought,34,4
left,34,4
made,34,4
thu,31,4
hand,31,4
sever,31,4
becam,30,4
though,30,4
still,30,4
day,29,4
emperor,29,4
woman,28,4
say,28,4
chamber,28,4
roll,27,4
see,27,4
natur,27,4
mani,27,4
therefor,26,4
inde,26,4
spirit,26,4
place,26,4
life,26,4
remark,25,4
court,25,4
seem,25,4
palac,25,4
plum,25,4
long,25,4
often,24,4
much,24,4
quit,24,4
show,24,4
never,22,4
great,21,4
appear,20,4
special,20,4
might,19,4
sama,19,4
must,19,4
point,19,4
present,19,4
pass,19,4
matter,19,4
go,19,4
frequent,19,4
continu,18,4
anoth,18,4
ground,18,4
mother,18,4
usual,18,4
can,18,4
kami,18,4
interest,18,4
subject,18,4
illustr,18,4
two,18,4
without,18,4
tast,18,4
paint,18,4
old,17,4
face,17,4
tell,17,4
take,17,4
love,17,4
give,17,4
began,17,4
repli,16,4
soon,16,4
hear,16,4
everi,16,4
yet,16,4
daughter,16,4
parti,16,4
suggest,16,4
peopl,16,4
name,16,4
look,16,4
alway,16,4
spite,16,4
instanc,15,4
ordinari,15,4
visit,15,4
upon,15,4
