text,size,topic
nurs,1278,4
sanjo,1060,4
bugo,1009,4
last,815,4
suke,803,4
ladi,779,4
mother,706,4
place,616,4
parti,565,4
moment,558,4
long,556,4
templ,545,4
pilgrim,531,4
old,503,4
now,496,4
tell,427,4
even,422,4
one,421,4
year,407,4
women,404,4
servic,393,4
arriv,380,4
away,369,4
two,363,4
go,351,4
upon,347,4
girl,345,4
pray,341,4
must,335,4
speak,327,4
tear,323,4
ateki,319,4
life,317,4
tamakatsura,316,4
far,312,4
caught,309,4
ago,305,4
said,297,4
child,296,4
feel,294,4
news,284,4
suppos,272,4
moreov,272,4
set,259,4
see,248,4
secur,245,4
leg,241,4
imagin,222,4
young,218,4
hand,218,4
left,217,4
way,212,4
suddenli,211,4
word,209,4
becom,208,4
babi,208,4
strove,204,4
hide,203,4
anoth,202,4
ride,200,4
dress,198,4
first,195,4
meet,190,4
listen,190,4
indign,183,4
beckon,183,4
held,183,4
fei,183,4
sob,183,4
kuei,183,4
reserv,183,4
altar,183,4
silenc,183,4
remain,183,4
crowd,183,4
emblem,183,4
tsuba,183,4
twin,182,4
tini,181,4
dweller,179,4
beg,179,4
arm,174,4
attend,172,4
tramp,167,4
littl,164,4
calmli,162,4
inflict,161,4
eh,159,4
holi,155,4
corner,151,4
dead,151,4
pain,150,4
spoke,149,4
drawn,149,4
burst,149,4
straight,148,4
accordingli,146,4
want,142,4
immedi,137,4
person,137,4
