text,size,topic
said,1002,1
will,911,1
flower,762,1
one,625,1
now,598,1
blossom,574,1
boy,498,1
give,428,1
beauti,415,1
inde,415,1
can,413,1
must,381,1
even,367,1
anoth,356,1
letter,344,1
princ,343,1
kobai,332,1
came,331,1
make,331,1
may,323,1
upon,314,1
say,310,1
crown,309,1
palac,298,1
moment,293,1
color,293,1
less,292,1
princess,291,1
though,290,1
perfum,284,1
time,284,1
scent,281,1
morn,279,1
rather,273,1
affect,272,1
whose,262,1
put,260,1
made,260,1
first,251,1
kami,251,1
littl,251,1
long,250,1
day,249,1
seem,247,1
fanci,242,1
plum,241,1
end,240,1
sister,239,1
work,239,1
wrong,238,1
real,238,1
uma,237,1
fashion,234,1
thought,232,1
term,231,1
need,228,1
court,227,1
spray,224,1
way,218,1
thing,217,1
admir,214,1
wither,213,1
yet,210,1
amaz,207,1
much,204,1
surpris,204,1
far,200,1
poem,199,1
trifl,195,1
well,188,1
soon,188,1
disposit,188,1
interest,187,1
pass,182,1
hint,181,1
best,180,1
noth,180,1
draw,179,1
carver,179,1
style,178,1
wood,178,1
sure,176,1
wife,175,1
glori,173,1
disappear,171,1
chang,170,1
ink,170,1
old,169,1
impress,168,1
chosen,166,1
ago,166,1
set,165,1
without,163,1
fact,161,1
garden,159,1
like,159,1
never,156,1
chanc,154,1
delight,153,1
pleas,152,1
