text,size,topic
one,1012,16
ladi,770,16
now,709,16
time,671,16
girl,632,16
tamakatsura,604,16
year,582,16
princ,577,16
much,569,16
princess,569,16
said,568,16
daughter,564,16
though,501,16
palac,492,16
even,470,16
littl,468,16
way,462,16
seem,461,16
day,458,16
look,456,16
make,456,16
father,453,16
will,446,16
upon,428,16
never,408,16
quit,402,16
young,391,16
emperor,386,16
feel,382,16
far,382,16
take,378,16
well,372,16
made,371,16
alway,369,16
see,361,16
mere,358,16
court,357,16
great,354,16
thought,341,16
inde,337,16
know,336,16
present,332,16
might,332,16
peopl,332,16
matter,328,16
thing,321,16
ever,313,16
child,313,16
can,311,16
old,311,16
regard,301,16
person,299,16
mother,296,16
think,294,16
natur,292,16
letter,289,16
kind,284,16
good,282,16
nyosan,281,16
possibl,278,16
come,275,16
noth,273,16
without,268,16
everi,266,16
howev,261,16
higekuro,260,16
go,259,16
life,256,16
posit,252,16
affair,250,16
like,246,16
new,243,16
allow,239,16
soon,239,16
hand,236,16
still,235,16
certain,234,16
son,233,16
must,230,16
care,229,16
visit,224,16
interest,221,16
continu,219,16
realli,217,16
sure,216,16
part,213,16
cours,213,16
two,213,16
came,211,16
taken,207,16
kumoi,205,16
get,205,16
repli,205,16
fact,204,16
put,203,16
first,202,16
long,202,16
may,201,16
often,201,16
children,199,16
