text,size,topic
said,987,14
now,710,14
one,707,14
come,695,14
long,653,14
back,566,14
seem,530,14
day,518,14
hous,487,14
look,472,14
upon,431,14
even,431,14
door,426,14
away,424,14
littl,424,14
visit,379,14
child,374,14
go,371,14
ladi,351,14
thought,348,14
see,342,14
poem,333,14
great,328,14
much,326,14
came,322,14
inde,320,14
tear,320,14
like,310,14
hand,308,14
storm,302,14
servant,301,14
wind,300,14
though,299,14
princess,297,14
man,297,14
part,296,14
last,292,14
night,291,14
palac,289,14
will,285,14
time,285,14
way,282,14
brought,280,14
make,279,14
end,266,14
wait,262,14
think,262,14
well,261,14
father,261,14
word,257,14
messeng,250,14
sea,244,14
year,243,14
priest,241,14
god,239,14
thing,238,14
place,238,14
say,237,14
strang,236,14
sent,234,14
still,230,14
went,226,14
face,224,14
without,222,14
howev,222,14
mani,219,14
live,218,14
just,218,14
suddenli,217,14
put,217,14
get,211,14
heard,202,14
saw,201,14
watch,200,14
dawn,198,14
sky,198,14
voic,198,14
wonder,198,14
continu,196,14
love,194,14
shore,193,14
wing,193,14
know,193,14
stand,190,14
longer,190,14
capit,189,14
present,188,14
soon,188,14
seen,187,14
cri,185,14
everi,183,14
tree,183,14
life,182,14
blow,182,14
shall,181,14
home,181,14
fetch,181,14
princ,178,14
new,171,14
room,171,14
