text,size,topic
myobu,1333,11
one,774,11
said,732,11
look,708,11
year,665,11
poem,583,11
great,542,11
may,527,11
mani,512,11
come,507,11
much,490,11
ladi,406,11
will,391,11
moon,388,11
good,369,11
time,362,11
upon,357,11
now,346,11
must,344,11
think,343,11
littl,341,11
place,336,11
steward,333,11
never,328,11
love,325,11
high,321,11
see,320,11
way,314,11
away,310,11
class,300,11
professor,296,11
know,295,11
thought,283,11
hous,279,11
strang,266,11
princ,262,11
ceremoni,252,11
put,252,11
found,246,11
uma,242,11
certain,241,11
made,235,11
complet,232,11
person,227,11
quit,227,11
prayer,227,11
kami,223,11
palac,223,11
hand,221,11
proceed,218,11
find,218,11
take,215,11
snow,215,11
thing,214,11
new,213,11
call,211,11
without,209,11
even,208,11
noth,207,11
first,207,11
whatev,206,11
also,206,11
rather,204,11
set,203,11
inde,202,11
like,200,11
gave,197,11
old,197,11
light,197,11
fortun,191,11
garden,190,11
plectrum,188,11
nightingal,188,11
mind,187,11
learn,185,11
can,184,11
moment,182,11
audienc,180,11
say,178,11
middl,178,11
degre,176,11
long,173,11
seem,173,11
pine,170,11
mist,169,11
fanci,168,11
rais,167,11
whole,165,11
man,165,11
might,164,11
tri,163,11
rank,162,11
women,162,11
peopl,162,11
behind,161,11
read,158,11
affair,156,11
suddenli,156,11
perfect,155,11
shikibu,155,11
