text,size,topic
now,829,2
one,821,2
ladi,688,2
long,659,2
even,588,2
room,575,2
seem,562,2
upon,562,2
though,545,2
said,518,2
still,508,2
day,480,2
look,472,2
time,469,2
come,452,2
littl,441,2
thought,427,2
like,406,2
great,405,2
see,389,2
must,369,2
night,363,2
suddenli,363,2
back,360,2
poem,358,2
last,350,2
dress,335,2
much,330,2
began,330,2
beauti,324,2
inde,309,2
answer,306,2
mani,295,2
year,294,2
moment,294,2
yet,291,2
soon,288,2
hous,287,2
just,286,2
hair,276,2
came,275,2
go,272,2
quit,270,2
wait,269,2
felt,259,2
child,257,2
head,253,2
letter,248,2
face,245,2
light,244,2
end,238,2
love,237,2
door,236,2
hand,236,2
sent,233,2
went,232,2
paper,231,2
made,228,2
knew,225,2
away,225,2
feel,224,2
take,223,2
live,223,2
heart,219,2
think,218,2
watch,218,2
morn,217,2
way,210,2
peopl,209,2
follow,208,2
young,207,2
found,206,2
tear,205,2
shall,204,2
know,204,2
old,204,2
left,202,2
thing,202,2
will,201,2
toward,198,2
seen,197,2
tree,195,2
lay,191,2
say,189,2
curtain,189,2
strang,189,2
pictur,187,2
longer,180,2
delight,180,2
leav,178,2
ever,178,2
cloak,176,2
put,176,2
red,175,2
lie,175,2
bed,175,2
wonder,173,2
sleev,172,2
took,172,2
anoth,172,2
