text,size,topic
palac,567,17
upon,536,17
letter,522,17
daughter,520,17
soon,518,17
now,479,17
morn,464,17
inde,453,17
think,449,17
though,422,17
answer,395,17
child,387,17
away,358,17
go,355,17
knew,352,17
accept,335,17
long,328,17
night,314,17
even,312,17
ladi,291,17
far,289,17
fragranc,281,17
beauti,270,17
live,267,17
brother,265,17
unendur,259,17
felt,258,17
must,257,17
day,253,17
asid,247,17
written,242,17
orchid,241,17
alon,238,17
lie,232,17
lone,231,17
hear,223,17
turn,223,17
ichi,222,17
littl,220,17
best,218,17
last,218,17
time,216,17
till,215,17
autumn,215,17
thought,214,17
might,214,17
alreadi,214,17
made,208,17
melancholi,208,17
brought,207,17
mourner,206,17
among,205,17
say,203,17
tie,201,17
world,201,17
ever,200,17
late,198,17
receiv,190,17
girl,190,17
oi,187,17
wreath,186,17
doubt,186,17
emperor,184,17
mist,184,17
field,183,17
excus,183,17
paper,182,17
one,181,17
fare,181,17
miseri,180,17
bed,177,17
henceforth,175,17
mourn,173,17
use,169,17
believ,169,17
situat,168,17
royal,167,17
forc,166,17
chrysanthemum,162,17
hideou,162,17
mingl,162,17
reluct,162,17
kiku,162,17
ownerless,162,17
guilt,162,17
unclean,162,17
bob,162,17
pre,162,17
commend,162,17
latitud,162,17
explicit,162,17
gayest,162,17
rend,162,17
predecessor,161,17
noon,160,17
mind,157,17
repair,157,17
virgin,156,17
affront,156,17
purif,155,17
