text,size,topic
one,735,15
garden,671,15
autumn,624,15
tree,612,15
ladi,546,15
littl,521,15
upon,435,15
ceremoni,435,15
new,434,15
great,429,15
place,425,15
might,420,15
flower,414,15
rose,339,15
move,328,15
time,323,15
seem,322,15
leav,320,15
quarter,315,15
inde,315,15
arriv,314,15
love,308,15
spring,308,15
race,308,15
plant,308,15
stream,308,15
intend,268,15
later,252,15
month,233,15
mother,226,15
delight,223,15
like,222,15
carri,219,15
mark,219,15
see,217,15
whole,217,15
palac,217,15
far,215,15
day,215,15
noth,215,15
now,214,15
set,214,15
came,213,15
near,213,15
anoth,213,15
hous,213,15
best,213,15
though,212,15
even,212,15
everi,212,15
ever,210,15
beauti,210,15
seen,207,15
wait,207,15
rest,207,15
fall,207,15
whose,207,15
behind,207,15
bed,207,15
join,207,15
villag,207,15
messeng,207,15
form,207,15
white,207,15
fifth,207,15
splendor,207,15
season,207,15
forest,207,15
advanc,207,15
wall,207,15
ostentati,207,15
tall,207,15
process,207,15
bush,207,15
deepest,158,15
orang,147,15
fourth,145,15
confidenti,143,15
impos,143,15
friendship,142,15
conveni,128,15
complain,127,15
fill,124,15
sens,122,15
becam,121,15
name,121,15
grown,120,15
led,118,15
clear,117,15
confid,116,15
larg,114,15
nois,114,15
pass,114,15
brought,113,15
cover,113,15
risen,113,15
affair,112,15
variou,112,15
common,112,15
point,112,15
