text,size,topic
said,1267,8
one,978,8
now,783,8
time,691,8
go,677,8
thing,633,8
come,617,8
way,613,8
think,585,8
must,575,8
know,559,8
much,552,8
seem,538,8
thought,530,8
long,522,8
see,510,8
feel,503,8
day,493,8
even,490,8
like,479,8
though,456,8
inde,456,8
look,453,8
make,447,8
will,433,8
get,403,8
felt,400,8
last,400,8
say,384,8
well,380,8
never,372,8
peopl,365,8
hous,364,8
moment,355,8
quit,354,8
old,344,8
take,342,8
made,337,8
littl,337,8
can,336,8
far,335,8
still,327,8
came,326,8
back,325,8
night,323,8
sure,308,8
away,307,8
tell,305,8
place,304,8
girl,303,8
noth,303,8
ever,295,8
kozeri,295,8
just,290,8
matter,290,8
might,289,8
great,283,8
room,280,8
life,278,8
realli,278,8
mother,276,8
happen,267,8
upon,267,8
cours,266,8
find,266,8
howev,265,8
knew,259,8
world,258,8
letter,258,8
hand,257,8
better,257,8
ladi,247,8
rather,242,8
heard,241,8
live,238,8
mind,237,8
good,234,8
let,229,8
first,229,8
present,228,8
ask,227,8
alway,226,8
kind,219,8
someon,215,8
turn,213,8
someth,210,8
end,207,8
went,205,8
enough,204,8
certainli,202,8
strang,197,8
answer,197,8
found,193,8
put,193,8
may,192,8
anyth,191,8
word,190,8
talk,188,8
person,187,8
use,186,8
