text,size,topic
boy,1380,7
kami,849,7
ki,748,7
now,743,7
though,737,7
upon,641,7
seem,614,7
think,607,7
thought,586,7
say,570,7
still,561,7
letter,524,7
day,508,7
one,508,7
mind,505,7
mani,495,7
said,493,7
great,487,7
see,430,7
sister,410,7
must,410,7
sent,405,7
life,395,7
might,385,7
answer,384,7
last,380,7
made,378,7
even,345,7
moment,333,7
knew,332,7
will,330,7
night,321,7
take,313,7
dead,309,7
long,303,7
go,302,7
come,301,7
dark,291,7
found,290,7
world,286,7
end,283,7
ever,282,7
voic,282,7
thing,281,7
ghost,276,7
tri,276,7
sinc,274,7
make,271,7
love,269,7
yet,267,7
princ,258,7
read,254,7
lay,245,7
priest,245,7
duti,244,7
often,240,7
order,236,7
desir,236,7
time,234,7
dream,234,7
sleev,233,7
brought,231,7
beauti,228,7
back,222,7
speak,222,7
never,222,7
agemaki,220,7
well,219,7
look,214,7
enough,211,7
sorrow,209,7
bring,205,7
told,203,7
way,203,7
bodi,202,7
tear,199,7
spirit,197,7
die,197,7
came,195,7
year,193,7
road,191,7
face,186,7
fall,184,7
hous,183,7
five,183,7
earth,182,7
leav,181,7
eye,179,7
return,178,7
bed,176,7
impress,176,7
watch,174,7
view,174,7
lost,170,7
purpos,168,7
ladi,167,7
send,165,7
littl,163,7
close,163,7
imagin,162,7
