text,size,topic
now,781,18
ladi,775,18
one,709,18
day,591,18
time,590,18
upon,586,18
emperor,557,18
great,553,18
though,535,18
palac,521,18
inde,486,18
even,455,18
princ,419,18
mani,416,18
long,378,18
seem,377,18
hous,375,18
thought,367,18
last,360,18
present,356,18
year,355,18
littl,352,18
much,345,18
made,345,18
old,340,18
come,332,18
child,329,18
said,329,18
play,327,18
young,310,18
like,305,18
still,295,18
soon,286,18
look,284,18
came,280,18
place,280,18
far,275,18
way,274,18
court,271,18
new,270,18
part,269,18
go,266,18
poem,263,18
see,255,18
began,250,18
might,248,18
well,241,18
visit,241,18
hand,238,18
flower,237,18
everi,237,18
sent,223,18
make,223,18
will,214,18
life,213,18
feel,212,18
father,211,18
first,208,18
felt,207,18
among,206,18
quit,198,18
must,194,18
moment,193,18
daughter,192,18
occas,192,18
never,192,18
left,191,18
side,186,18
leav,185,18
back,184,18
mother,184,18
show,182,18
mind,181,18
set,181,18
think,179,18
son,179,18
man,178,18
yet,177,18
take,176,18
good,175,18
went,174,18
tree,174,18
night,173,18
rememb,173,18
arriv,172,18
zithern,171,18
heart,169,18
princess,167,18
use,167,18
beauti,166,18
world,165,18
two,165,18
month,165,18
took,165,18
brought,164,18
alreadi,164,18
matter,164,18
answer,162,18
turn,162,18
music,161,18
