text,size,topic
daughter,737,5
look,606,5
lieuten,567,5
like,503,5
hagi,468,5
wilt,465,5
besid,436,5
high,406,5
just,400,5
seen,362,5
memori,315,5
priceless,315,5
frond,315,5
young,307,5
jewel,304,5
plant,300,5
bore,298,5
think,296,5
garden,294,5
obsess,293,5
poem,289,5
birth,286,5
well,285,5
anyth,283,5
noth,271,5
impress,260,5
mind,256,5
hous,248,5
distinct,243,5
rancor,240,5
left,230,5
asham,224,5
littl,217,5
side,212,5
use,208,5
furiou,204,5
baffl,198,5
now,188,5
quit,181,5
person,177,5
governor,175,5
wander,169,5
red,168,5
silk,166,5
contemptu,161,5
himsh,161,5
greeneri,161,5
correctadmir,161,5
shewhat,161,5
revil,161,5
illiter,161,5
cavil,161,5
spout,161,5
cheerless,161,5
afterworld,161,5
belov,161,5
estrangednot,161,5
vulgar,161,5
unassail,161,5
farsight,161,5
untidi,161,5
disarray,161,5
unexplor,161,5
pod,161,5
daughterah,161,5
slander,161,5
sanctuari,161,5
stamen,161,5
ocher,161,5
dayflow,161,5
unmitig,161,5
goblin,161,5
itth,161,5
knewand,161,5
windblown,161,5
aback,161,5
descent,161,5
reveri,161,5
circl,161,5
untidili,161,5
inur,161,5
credibl,161,5
freshli,161,5
floral,161,5
verifi,161,5
tentativebut,161,5
womenno,161,5
pair,161,5
hiddenfor,161,5
womanish,161,5
seventi,161,5
barbar,161,5
rariti,161,5
cancel,161,5
eastern,161,5
aimless,161,5
insipid,159,5
alla,159,5
miyagi,159,5
twill,159,5
