text,size,topic
captain,954,4
excel,913,4
ladi,682,4
consort,631,4
control,538,4
time,517,4
like,465,4
peopl,465,4
repli,458,4
pleas,440,4
say,426,4
everyon,408,4
among,383,4
found,360,4
put,354,4
imagin,346,4
answer,326,4
natur,277,4
dispens,276,4
shore,276,4
accord,275,4
confin,268,4
mistak,268,4
maintain,267,4
gossip,262,4
staff,258,4
truth,257,4
kind,254,4
aw,247,4
surpass,244,4
upon,243,4
long,240,4
just,236,4
perfectli,233,4
idea,228,4
servic,225,4
majesti,224,4
past,222,4
suppos,219,4
lord,219,4
care,215,4
know,215,4
must,215,4
fail,214,4
sure,208,4
brought,208,4
reason,200,4
yet,199,4
eye,197,4
turn,195,4
woman,174,4
declin,168,4
mistress,168,4
tear,166,4
great,166,4
came,164,4
claim,163,4
want,162,4
shelter,162,4
realli,160,4
merit,159,4
ordinari,150,4
gift,148,4
music,145,4
tast,144,4
begun,143,4
trefoil,142,4
wine,142,4
extravag,142,4
covet,142,4
goesth,142,4
seagirl,142,4
defenseless,142,4
smiledi,142,4
youit,142,4
brashli,142,4
inkl,142,4
recipi,142,4
boulder,142,4
insistedsh,142,4
heedlessli,142,4
glare,142,4
celesti,142,4
bleak,142,4
occasionsno,142,4
playth,142,4
unsound,142,4
salli,142,4
accom,142,4
slowli,142,4
largess,142,4
43and,142,4
conscienti,142,4
powder,142,4
cup,142,4
ensur,142,4
darkest,142,4
allbut,142,4
matron,142,4
busybodi,142,4
