text,size,topic
now,1018,3
majesti,783,3
long,678,3
citi,673,3
wind,639,3
even,634,3
day,633,3
leav,631,3
shore,618,3
sea,569,3
novic,559,3
thought,546,3
one,534,3
sorrow,493,3
wave,444,3
mani,441,3
set,422,3
autumn,413,3
dream,412,3
time,411,3
see,392,3
come,389,3
came,356,3
year,351,3
littl,339,3
away,338,3
never,336,3
gave,335,3
love,330,3
among,327,3
knew,325,3
tear,324,3
said,318,3
know,316,3
secretari,310,3
enough,307,3
might,306,3
night,299,3
beyond,289,3
month,284,3
moon,283,3
sky,279,3
eye,276,3
spring,275,3
upon,275,3
went,272,3
will,268,3
last,266,3
wonder,264,3
shall,262,3
feel,261,3
found,260,3
suma,259,3
pleasur,258,3
music,257,3
fear,253,3
well,253,3
wish,250,3
far,247,3
tree,244,3
strang,240,3
whose,239,3
wept,229,3
go,229,3
stood,225,3
heart,224,3
boat,223,3
pass,219,3
suffer,218,3
flower,218,3
travel,217,3
dawn,213,3
omyobu,208,3
began,208,3
yoshikiyo,202,3
cri,199,3
word,199,3
yet,197,3
repli,196,3
land,195,3
kept,195,3
alon,194,3
appar,194,3
fate,193,3
beauti,193,3
perhap,192,3
o,192,3
light,191,3
still,191,3
find,184,3
seem,183,3
garden,182,3
soon,181,3
journey,181,3
shrine,180,3
quietli,180,3
behind,179,3
mother,179,3
fever,178,3
made,178,3
