text,size,topic
never,821,8
play,760,8
now,704,8
even,657,8
one,613,8
said,542,8
flute,525,8
look,512,8
like,492,8
captain,492,8
though,488,8
day,464,8
music,448,8
seem,447,8
command,436,8
wish,433,8
thought,425,8
love,418,8
sorrow,415,8
night,408,8
life,400,8
just,395,8
longer,387,8
tear,357,8
voic,357,8
long,351,8
bright,350,8
say,349,8
back,348,8
call,347,8
ever,345,8
dawn,343,8
went,340,8
face,336,8
besid,330,8
mountain,324,8
come,310,8
see,304,8
will,303,8
old,286,8
can,285,8
last,283,8
feel,278,8
past,278,8
moment,274,8
place,272,8
wind,267,8
hear,267,8
littl,265,8
year,261,8
daughter,259,8
make,253,8
cuckoo,252,8
time,249,8
nun,246,8
rever,244,8
clearli,242,8
moon,242,8
instrument,242,8
mother,241,8
might,239,8
sure,237,8
mani,234,8
father,231,8
ago,229,8
peopl,227,8
knew,221,8
thing,220,8
ladi,219,8
visitor,218,8
way,217,8
wept,214,8
still,213,8
beauti,213,8
must,213,8
well,212,8
pain,212,8
chamber,210,8
young,210,8
pleas,208,8
everyth,203,8
know,202,8
perhap,202,8
shall,201,8
assur,197,8
els,197,8
women,196,8
bitter,194,8
prepar,194,8
meanwhil,190,8
monk,190,8
cruelli,185,8
sight,184,8
rim,182,8
wisp,182,8
wagon,182,8
kin,182,8
away,181,8
physiognomist,180,8
beset,177,8
