text,size,topic
majesti,1470,10
high,1031,10
one,923,10
excel,740,10
emin,665,10
ladi,586,10
palac,538,10
son,518,10
look,488,10
command,466,10
year,457,10
young,445,10
mani,443,10
day,442,10
now,437,10
well,426,10
even,422,10
made,421,10
blossom,415,10
right,399,10
grace,394,10
long,370,10
great,364,10
princ,358,10
left,343,10
set,337,10
came,335,10
heir,335,10
gentlemen,323,10
went,322,10
present,315,10
still,314,10
daughter,308,10
consort,308,10
appar,306,10
seem,299,10
sinc,299,10
flower,298,10
counselor,296,10
beauti,290,10
among,290,10
time,285,10
two,283,10
nobl,282,10
gave,281,10
see,277,10
mother,276,10
east,272,10
new,271,10
dress,266,10
captain,263,10
play,261,10
said,260,10
way,256,10
wing,255,10
late,251,10
spring,249,10
month,245,10
senior,242,10
music,241,10
like,241,10
cherri,236,10
privi,233,10
come,232,10
occas,229,10
make,229,10
just,228,10
offer,226,10
staff,221,10
call,220,10
event,217,10
empress,215,10
love,215,10
prepar,213,10
gather,213,10
gentlewomen,209,10
ever,207,10
littl,206,10
must,206,10
color,205,10
age,204,10
consult,202,10
grand,201,10
found,201,10
move,198,10
intend,197,10
put,197,10
done,196,10
minist,195,10
rank,194,10
magnific,191,10
much,190,10
first,190,10
everi,189,10
never,189,10
thought,186,10
go,185,10
inde,184,10
home,183,10
also,183,10
