text,size,topic
one,1073,14
even,633,14
look,622,14
captain,603,14
well,573,14
way,531,14
play,515,14
like,510,14
littl,504,14
young,498,14
now,478,14
just,470,14
said,466,14
ladi,466,14
come,453,14
seem,450,14
must,440,14
women,432,14
though,429,14
still,425,14
see,419,14
thought,416,14
go,413,14
high,407,14
went,402,14
long,356,14
time,347,14
love,341,14
night,330,14
make,323,14
music,321,14
might,319,14
wonder,317,14
woman,314,14
made,308,14
hous,307,14
away,305,14
dress,300,14
came,293,14
know,292,14
beauti,287,14
back,287,14
flower,284,14
never,283,14
put,280,14
much,279,14
will,269,14
girl,268,14
noth,251,14
can,249,14
moon,248,14
answer,248,14
lord,247,14
call,239,14
leav,235,14
sound,233,14
wind,229,14
man,228,14
father,223,14
day,223,14
hardli,219,14
color,214,14
pleas,212,14
hear,211,14
quit,208,14
garden,203,14
smile,200,14
touch,200,14
think,199,14
blind,198,14
say,195,14
excel,194,14
thing,192,14
voic,192,14
realli,190,14
far,190,14
gave,188,14
sinc,186,14
enough,184,14
light,184,14
mind,183,14
ever,183,14
heard,183,14
old,181,14
instrument,180,14
two,179,14
repli,179,14
gown,178,14
may,177,14
sky,173,14
give,173,14
door,173,14
secretari,172,14
often,172,14
mistress,171,14
someon,171,14
cloak,171,14
delight,170,14
remark,170,14
pass,169,14
