text,size,topic
cock,641,12
saw,602,12
common,572,12
anymor,530,12
grandma,481,12
crow,479,12
drew,454,12
valley,443,12
nearli,432,12
sure,430,12
invit,389,12
spread,386,12
rude,372,12
dawn,355,12
goddess,329,12
teller,329,12
steed,329,12
flag,317,12
await,314,12
fiction,308,12
attent,302,12
leaf,291,12
whim,286,12
red,286,12
frond,282,12
mad,274,12
autumn,269,12
indign,265,12
scriptur,261,12
damask,257,12
wind,251,12
silk,250,12
rich,245,12
fit,239,12
mysteri,218,12
slide,215,12
view,212,12
shock,205,12
tender,205,12
pursu,201,12
door,197,12
protest,194,12
mortifi,192,12
remov,189,12
trembl,187,12
fleet,186,12
prettier,185,12
reviv,183,12
resist,178,12
dewdrop,177,12
courtship,173,12
peerless,171,12
exclam,168,12
grope,168,12
obdur,168,12
wrest,168,12
uner,168,12
airfor,168,12
overwa,168,12
morethey,168,12
bodili,168,12
spiritu,168,12
rib,168,12
kurodani,168,12
loath,168,12
refreshingli,168,12
contemptu,168,12
themthat,168,12
pervas,168,12
hereveryon,168,12
undistract,168,12
tenuou,168,12
dumbfound,168,12
thoughtwhat,168,12
suppl,168,12
justli,168,12
inconsist,168,12
stiflingli,168,12
oblivion,168,12
giddi,168,12
soth,168,12
culprit,168,12
dupe,168,12
shorten,168,12
kudara,168,12
arrest,168,12
chronicl,168,12
hole,168,12
corda,168,12
accur,168,12
powder,168,12
convincingli,168,12
slim,168,12
fabl,168,12
sourc,168,12
inner,168,12
unashamedli,168,12
stifl,168,12
territori,168,12
imaginationbut,168,12
