text,size,topic
like,894,11
noth,711,11
may,672,11
can,660,11
rever,600,11
just,574,11
thing,570,11
one,564,11
husband,521,11
woman,502,11
see,490,11
seem,486,11
will,467,11
still,464,11
look,459,11
must,456,11
die,429,11
know,396,11
well,393,11
make,382,11
human,379,11
come,372,11
young,360,11
away,348,11
never,347,11
tell,319,11
much,316,11
leav,313,11
someth,308,11
face,302,11
feel,301,11
get,299,11
even,299,11
wife,298,11
eye,297,11
old,295,11
say,290,11
might,289,11
anyth,288,11
spirit,281,11
tree,280,11
equerri,275,11
nun,274,11
fox,272,11
show,258,11
talk,254,11
great,250,11
year,246,11
roll,246,11
watch,245,11
happen,243,11
sure,238,11
demon,237,11
now,236,11
time,234,11
chief,232,11
boy,231,11
bring,231,11
said,230,11
pleas,230,11
peopl,228,11
someon,224,11
live,224,11
affect,220,11
hide,219,11
women,214,11
sister,213,11
coupl,209,11
deal,207,11
wit,205,11
cloth,205,11
snowbal,205,11
discipl,205,11
dead,205,11
evil,205,11
wood,197,11
short,192,11
regret,191,11
need,190,11
cresset,188,11
wrong,186,11
world,182,11
form,181,11
realli,178,11
strang,177,11
shape,176,11
alway,176,11
put,174,11
act,172,11
right,171,11
gain,171,11
reason,171,11
brought,171,11
upset,170,11
deserv,169,11
life,166,11
far,166,11
tri,162,11
everyth,161,11
inde,161,11
