text,size,topic
paint,1177,13
majesti,942,13
time,794,13
tale,700,13
side,641,13
now,560,13
sinc,532,13
like,521,13
work,481,13
consort,477,13
way,460,13
act,450,13
see,449,13
learn,421,13
counselor,406,13
show,400,13
interest,396,13
let,371,13
great,360,13
censer,359,13
said,339,13
aid,337,13
will,329,13
also,327,13
love,322,13
bring,318,13
far,305,13
ladi,298,13
pictur,296,13
least,296,13
attract,276,13
opportun,276,13
even,272,13
still,271,13
109,270,13
107,270,13
108,270,13
instead,270,13
pleas,262,13
painter,262,13
touch,251,13
cloister,251,13
emin,248,13
gather,244,13
vividli,242,13
heard,237,13
thought,236,13
done,236,13
move,234,13
day,232,13
stori,230,13
take,228,13
two,225,13
gentlewomen,225,13
haven,223,13
delight,220,13
festiv,218,13
round,217,13
old,217,13
daughter,216,13
know,216,13
live,215,13
look,211,13
right,207,13
remov,206,13
beauti,204,13
absorb,203,13
spent,203,13
favor,201,13
though,201,13
past,201,13
mani,199,13
sorrow,199,13
penetr,198,13
turn,194,13
palac,191,13
charm,189,13
tear,188,13
courtier,181,13
ash,181,13
umetsubo,181,13
reclin,181,13
garlic,181,13
modern,181,13
illustr,181,13
deliber,181,13
hole,181,13
sir,181,13
spur,181,13
uncompl,181,13
brushwood,181,13
hei,181,13
classic,181,13
piou,181,13
engulf,180,13
sidelock,179,13
desir,178,13
hint,175,13
mar,172,13
daini,168,13
